company;urn_id
azimutus;36985
aztec (trading corporate ventures, .);
aztec financial services (jersey);
azure capital;45949
b. riley & co;55463025
b. riley securities;11469697
b2a partners;3156797
babcock & brown;9314
bacchus capital advisers;19843519
bahana securities pt;5702794
bailey southwell & co;1642821
bain & company;2114
bainbridge capital;54407
baker tilly international;20909204
ballas capital;1031483
balmer-etienne;3849796
balmoral advisors;7944433
baltic corporate finance;43280326
baltic partners;17898873
bam&a corporate finance;372612
banca akros - oaklins;
banca de inversion bancolombia;928827
banca della svizzera italiana;65213749
banca esperia;24662439
banca euromobiliare;664436
banca finanziaria internazionale;448698
banca imi;19625629
banca intermobiliare di investimenti e gestioni;67131
banca leonardo;463392
banca march;740880
banca mb;80041
banca profilo;26252
banco bice;88559
banco bilbao vizcaya argentaria;4860
banco bpi;944027
banco bpm;15218308
banco bradesco bbi;
banco brascan;23209
banco btg pactual;41031695
banco de investimento global;23532
banco espanol de credito;38892041
banco finantia;16270
banco indusval;1084959
banco itau bba;40988258
banco modal;46049
banco portugues de investimento;944027
banco sabadell m&a unit;
banco santander;2873
banco santander mexico;1254727
banco urquijo;23832
banif investment bank;
bank advisory group;8759270
bank alkhair bsc;41574
bank am bellevue;65186707
bank insinger de beaufort nv;1372068
bank j. safra sarasin;889129
bank julius bar & co;
bank lombard odier & co;6645
bank mandiri (persero) tbk, pt;
bank of america;1123
bank of america corporation;53662292
bank of scotland corporate;
bank oyens & van eeghen;
bank pekao;162638
bank vontobel;
bankersbanc capital corporation;
bankhaus lampe kg;3850050
bankinter;11697
banks street partners;
banque arjil et cie;
banque bruxelles lambert;5963373
banque delubac et cie;
banque palatine;162642
barber harrison & platt;
barber hauler capital advisers;512462
barbich longcrier hoper & king;
barclays;1426
barings bdc;
baron group;73078
barons financial services;20933111
barrier advisors;35696084
barrington associates;2390166
barrington research associates;
barron international group;15152725
barwon investment partners;8620793
bastion capital africa;5099407
bastion group;750363
baxter fentriss & company;5657794
bay capital group;11475207
bay harbour management lc;
baycap;75772381
bayerische landesbank;9829
baytree capital associates;
